answer_id,question_id,question_title,content,excerpt,publish_time,created_time,updated_time,author_name,author_url_token,author_headline,author_follower_count,voteup_count,comment_count,thanks_count,keyword_searched,topic,answer_url,crawled_at
1018679947,35016848,为什么女孩子存在恐婚 恐育？,当你还在上学，不用被现实逼着考虑结婚生育的时候，爱情是很美好的，像电影里一切都充满希望。交过几个温柔的男朋友，但在当时，他们也只是还没有走出校园的孩子，柏拉图式的爱情没有柴米油盐的琐碎，没有房车的重担。你们之间各种细腻的小情绪都可以被关注，被重视。爱情有着理想化的轻松和热烈，干净和纯粹。后来你被扔进社会上独自摸爬滚打，渐渐识别了生活的真面目。原来你来人间一遭，需要从万众宠爱的小公主，变成别人的贤妻和良母。需要在他未睡醒的早晨为他做饭，然后一遍遍叫他起床顺便忍受一下起床气，需要在他打游戏的时候去洗碗扫地拖地，需要在他躺在沙发上嗑瓜子吃水果的时候去洗衣服，需要在他吃瓜果零食碎屑掉一地的时候去清理地毯，需要在他上完厕所抽完烟后去刷马桶清理烟头，需要在餐桌上听他抱怨说饭菜不可口，需要半夜看他和网红脸异性朋友聊大尺度话题，需要半夜听他异性朋友打电话来说哥哥我好迷茫呀怎么办，需要经常听他抱怨你吃得多长得胖不好看赚的少……这仍然是在恋爱阶段，不同于往常的是你已经是所谓大龄了，身边的朋友陆陆续续地结婚，你已经不记得份子钱随出去多少。尽管你也才刚走出校园，只是书读的多了点，学历高了点。不用父母的催促，你已经有点慌了。你怕时间就这样一天天过去而你再也等不到想要的爱情。你怕你向现实妥协后遇到的男生心里都有自己的白月光。你怕他们如传闻所说错过了最爱后就变得很随便。你怕你是他们“随便”的受害者。你怕自己没有能力在两个家庭之间协调，你怕他在小家和原生家庭之间的不合适的处理会让你失望，你怕他还没有足够的责任心和成熟度来为人夫为人父。你怕他不够理解你的焦虑，你怕他以为你为他生育的勇气不值一提，你怕他会厌烦生活里的一地鸡毛并怪罪于你。你怕他来知乎提问“为什么女人生完孩子后判若两人？”你怕他从不照顾孩子，你怕他会认为你“带孩子是休息”。你怕他觉得你越来越矫情，你怕他大声吼你。你怕他在外抱着年轻的身体说“你让我有恋爱的感觉”，你怕他对小姑娘说“她没有你好看”，你怕他悄悄地进入陌生人的身体和心里，你怕他越来越多的秘密。你怕你没有能力保护好自己和那个家，你怕你对自己失望。你怕有一天你会觉得孤独终老也没那么可怕。,当你还在上学，不用被现实逼着考虑结婚生育的时候，爱情是很美好的，像电影里一切都充满希望。交过几个温柔的男朋友，但在当时，他们也只是还没有走出校园的孩子，柏拉图式的爱情没有柴米油盐的琐碎，没有房车的重担。你们之间各种细腻的小情绪都可以被关注，被重视。爱情有着理想化的轻松和热烈，干净和纯粹。 后来你被扔进社会上独自摸爬滚打，渐渐识别了生活的真面目。原来你来人间一遭，需要从万众宠爱的小公主，变成别人的…,2020-02-15 18:41:42,2020-02-15 18:41:42,2020-02-15 18:41:42,了不起的凶凶怪,dong-tian-de-pi-mao,,0,38,16,17,恐婚恐育,婚育决策,https://www.zhihu.com/question/35016848/answer/1018679947,2026-06-23 16:06:24
1056288763,35016848,为什么女孩子存在恐婚 恐育？,只能说细节打败一切。青春懵懂的时候羡慕别人成双成对的，渴望爱情，长大了发现，爱情没有保质。恐婚，害怕的是在另一个家庭会被怎样对待，害怕他们背后的议论，害怕他们对以后的干涉，害怕丈夫出轨，害怕自己人老珠黄，害怕娘家不再把自己当亲人，害怕远嫁没有人在身边，害怕太多的不理解，害怕结婚成为必需品恐育，害怕孕期各种反应，害怕生产不顺，害怕身材走样恢复不了，害怕孕期出轨害怕孕期脾气暴躁没人理解，害怕被别人说矫情，害怕一个人带孩子还说什么活都没干，害怕长辈对孩子的影响，害怕自己照顾不好孩子，害怕所有的付出没人在乎所有的害怕，都是没有安全感，没有保障。谁都不能保证不会变，我们害怕嫁到一个不好的家庭，害怕丈夫的不在乎，害怕工作不保，害怕没有人帮自己，更害怕没有人理解，所有的辛苦心酸，没有人看在眼里。,只能说细节打败一切。 青春懵懂的时候羡慕别人成双成对的，渴望爱情，长大了发现，爱情没有保质。 恐婚，害怕的是在另一个家庭会被怎样对待，害怕他们背后的议论，害怕他们对以后的干涉，害怕丈夫出轨，害怕自己人老珠黄，害怕娘家不再把自己当亲人，害怕远嫁没有人在身边，害怕太多的不理解，害怕结婚成为必需品 恐育，害怕孕期各种反应，害怕生产不顺，害怕身材走样恢复不了，害怕孕期出轨害怕孕期脾气暴躁没人理解，害怕被别…,2020-03-04 14:14:42,2020-03-04 14:14:42,2020-03-04 14:14:42,余生,qian-jing-98-73,,4,23,0,16,恐婚恐育,婚育决策,https://www.zhihu.com/question/35016848/answer/1056288763,2026-06-23 16:06:26
1090852836,35016848,为什么女孩子存在恐婚 恐育？,就我个人我主要恐育延伸的恐婚。因为我深知一个女生做一个不婚族比做丁克要容易，所以从源头杜绝后患。因此恐育恐婚恐育也不是因为什么怕痛怕死怕抑郁主要是对自己没有信心，因为原生家庭的缘故，我深恶痛绝我母亲的教育方式，但是我发现我和她的性格是很像的。我被潜移默化了。这点让我意识到我没办法做一个合格的妈妈，我没办法给到孩子需要的爱，因为我自己都是缺爱的。我害怕，如果我在未来教育中变成我母亲的样子，那孩子有多惨。,就我个人我主要恐育延伸的恐婚。 因为我深知一个女生做一个不婚族比做丁克要容易，所以从源头杜绝后患。 因此恐育恐婚 恐育也不是因为什么怕痛怕死怕抑郁 主要是对自己没有信心，因为原生家庭的缘故，我深恶痛绝我母亲的教育方式，但是我发现我和她的性格是很像的。我被潜移默化了。 这点让我意识到我没办法做一个合格的妈妈，我没办法给到孩子需要的爱，因为我自己都是缺爱的。我害怕，如果我在未来教育中变成我母亲的样子，那…,2020-03-19 15:36:09,2020-03-19 15:36:09,2020-03-19 15:36:09,zico,wei-cao-cao-xian-sheng,把一切期待塞进口袋,33,5,2,2,恐婚恐育,婚育决策,https://www.zhihu.com/question/35016848/answer/1090852836,2026-06-23 16:06:28
1152036515,385150298,为什么会恐婚恐孕呢？,主要是恐孕。就是懒，自私，不想牺牲自己的时间精力和金钱而对另外一个人负责任，不想经历生育过程的痛苦和承担生育带来的后果。恐孕是恐婚的大部分原因。在我周围观念还十分传统的当下，为了不生孩子应付家里人已经够累了，我不想再接受另一个家庭甚至是我的伴侣的责难。另一部分原因是我永远无法保证结婚对象是永远忠诚，不会与我产生任何矛盾的。我自己活得就挺好，不想为别人操心。结婚和生育并不是我的责任，也不是我必须选择的事情，我完全可以选择学业的深造和自身各方面的发展，剩下这些时间和精力陪伴家人或者自己到处吃喝玩乐不好吗。至于老年怎么办，我相信那时候已经有一套较为完善的养老机制，或者我会在丧失享受生活的能力之前，让自己体面的死去。身为女性，结婚和生育只是我可选择的权利。,主要是恐孕。 就是懒，自私，不想牺牲自己的时间精力和金钱而对另外一个人负责任，不想经历生育过程的痛苦和承担生育带来的后果。 恐孕是恐婚的大部分原因。在我周围观念还十分传统的当下，为了不生孩子应付家里人已经够累了，我不想再接受另一个家庭甚至是我的伴侣的责难。 另一部分原因是我永远无法保证结婚对象是永远忠诚，不会与我产生任何矛盾的。我自己活得就挺好，不想为别人操心。 结婚和生育并不是我的责任，也不是我必…,2020-04-14 03:26:49,2020-04-14 03:26:49,2020-04-14 03:26:49,Narrenschiff,terror-17,谨言慎行,5,63,18,26,恐婚恐育,婚育决策,https://www.zhihu.com/question/385150298/answer/1152036515,2026-06-23 16:06:31
1299361539,402709882,恐婚恐育是不成熟的表现吗？,不婚是一种可以自主选择的生活方式，成熟的人会为自己的选择而做出努力。越激进越孩子气的喊着，坚决不能踏入爱情的坟墓，最终都会投入到婚姻和家庭里，有的因爱而幸福，有的因焦虑而凄凉。而那些真的独立自主选择不结婚的人群，他们依旧觉得婚姻是幸福的事，孕育下一代是充满希望的事，而他们是真的平和地接受命运的安排，安然地与自己相处，上进努力，有所追求。相信我，他们都忙得很，根本没时间喊口号，也没时间恐婚恐育。所以，享受当下，没有人劝你下一秒就务必向往家庭和婚姻。任何时光在回头看时都是美丽的，哪怕是充满时光。后来回头看也是幸福的,不婚是一种可以自主选择的生活方式，成熟的人会为自己的选择而做出努力。 越激进越孩子气的喊着，坚决不能踏入爱情的坟墓，最终都会投入到婚姻和家庭里，有的因爱而幸福，有的因焦虑而凄凉。 而那些真的独立自主选择不结婚的人群，他们依旧觉得婚姻是幸福的事，孕育下一代是充满希望的事，而他们是真的平和地接受命运的安排，安然地与自己相处，上进努力，有所追求。 相信我，他们都忙得很，根本没时间喊口号，也没时间恐婚恐育…,2020-06-23 18:03:55,2020-06-23 18:03:55,2020-06-23 18:03:55,Dalnty,dalnty,,0,6,1,3,恐婚恐育,婚育决策,https://www.zhihu.com/question/402709882/answer/1299361539,2026-06-23 16:06:34
1307782160,403715375,大部分恐婚恐孕的人都在害怕什么？,1，害怕身边人不给力，生完孩子一地狗血。2，怕经济条件跟不上，一地鸡毛。3，怕付出了没回报，且被嫌弃，尤其是生孩子受尽疼痛和身材变形后。4，怕失去自我价值，只沦为“某某妈”，或者某些人眼中的奶牛或者生育机器。妈妈很伟大，但这个伟大必须基于能选择，而不是所谓被动的“为母则刚”。5，怕疼，怕身材变形。这点比起以上几点，甚至不足为道。,1，害怕身边人不给力，生完孩子一地狗血。 2，怕经济条件跟不上，一地鸡毛。 3，怕付出了没回报，且被嫌弃，尤其是生孩子受尽疼痛和身材变形后。 4，怕失去自我价值，只沦为“某某妈”，或者某些人眼中的奶牛或者生育机器。妈妈很伟大，但这个伟大必须基于能选择，而不是所谓被动的“为母则刚”。 5，怕疼，怕身材变形。这点比起以上几点，甚至不足为道。,2020-06-28 14:29:57,2020-06-28 14:29:57,2020-06-28 14:29:57,山河载酒,shanhezaijiu,世态炎凉冷暖，跌宕起伏坦荡。山河载酒，寻梦里的大同世界！,165,10,1,1,恐婚恐育,婚育决策,https://www.zhihu.com/question/403715375/answer/1307782160,2026-06-23 16:06:36
1457865667,419683302,为什么？人都恐婚恐育，是以什么原因呢？,1、不确定两个人在一起一定会比自己一个人过得更好，包括物质上和精神上2、不确定自己会爱这个人一辈子，也不确定这个人会爱自己一辈子3、现代社会的焦虑情绪，成功（赚更多的钱）已经耗光了我所有的能量，所以不要说结婚，我连对象都不想找4、不确定结婚之后自己的孩子会不会像自己这辈子这么辛苦，有句话叫“寒门再难处贵子”，对未来没有信心，担心自己的孩子做zb的奴隶本人女单身未婚，这就是我目前感受到到的,1、不确定两个人在一起一定会比自己一个人过得更好，包括物质上和精神上 2、不确定自己会爱这个人一辈子，也不确定这个人会爱自己一辈子 3、现代社会的焦虑情绪，成功（赚更多的钱）已经耗光了我所有的能量，所以不要说结婚，我连对象都不想找 4、不确定结婚之后自己的孩子会不会像自己这辈子这么辛苦，有句话叫“寒门再难处贵子”，对未来没有信心，担心自己的孩子做zb的奴隶 本人女单身未婚，这就是我目前感受到到的,2020-09-06 18:01:51,2020-09-06 18:01:51,2022-09-11 18:07:14,走走停停,da-jiang-jie-jie,种完了麦子我就往南走,11,1,0,1,恐婚恐育,婚育决策,https://www.zhihu.com/question/419683302/answer/1457865667,2026-06-23 16:06:38
1467523678,34531357,为什么现在大部分姑娘恐婚、恐育，当年我们的妈妈都是怎么结婚生下我们的？,"我不能代表其他人，只能说说我自己。我不是那么恐婚，可我恐育。因为婚姻对我来说也不过是一纸白书罢了。如果在未来我有幸遇到一个我很爱也很爱我的人，我愿意赌上一把，试着和他迈进婚姻。前提是我会获得更多的开心幸福，以及更高的生活质量。但一旦我发现，我的生活质量下降了，或者是他们的家人/他想让我辞去我的大好前程去当一个全职太太，天天伺候他生活起居，完全没有自己生活的话，我就彻底say bye。我可以大言不惭的说，我不怕以后离婚，我更怕被困在一段无比悲剧甚至毫无生活体验感的婚姻里度过余生。而我恐育的原因就很多了: 我不喜欢孩子。面对一个只会吃喝拉撒睡的吞金兽，再可爱我也喜欢不起来。我也从来就不是一个有耐心好脾气的人。而这样的我，是注定照顾不好一个孩子的。我的原生家庭和童年很不怎么样。我个人的三观和性格也有一定的缺陷，而且我的家族和我本人也都有心理疾病史。虽然我一直努力成为一个温柔阳光的人，可不代表我足够坚强足够温柔去抚养一个孩子长大成为身心健康的人。我没有足够的信心做一个合格的母亲，因为说实话，我不知道合格的母亲是什么样子。所以我不希望他和我遭受一样的痛苦，那些痛苦在我这里结束就好了。和广大恐育的女孩子们一样，我也不想承受生育带来的痛苦。可能对男人们说，生孩子就是一张嘴说说的事。但对于我们来说不是的。从怀胎十月开始，整个人身体肿胀，身材走样变形，揣着一个大西瓜一样的肚子24小时不离身，甚至吃不下饭睡不好觉，如果身体本身柔弱多病的就更是生不如死。生产就更别提了，详细的热评也都说了，我不想再赘述。至于生完孩子以后，先不说我再也回不到原来的身材和样貌，产后抑郁就够我受。我本来就是有抑郁症和焦虑症的心理病史的，产后抑郁估计我大概率也会得的吧。我知道世上有好男人，但太少了，凤毛麟角。又有能力又负责任，对你照顾有加，不出去乱搞只爱一人，不让你经受丧偶式婚姻的这种男人，少之又少。我知道有，但我不确定我能遇到。以上，我觉得这些理由很充分了。至于我父母，我妈妈是非常支持我不生孩子的。我妈妈很爱我，她知道她曾经带给我很多伤害。她同时也知道自己因为生下我所牺牲的一切，她不希望我也这样。她也从来不催我结婚或是谈恋爱，因为她知道为了结婚而结婚会让人付出什么样的代价。而我爸爸虽然也很爱我，但骨子里应该还是多多少少有点大男子主义吧。他总说:“ 什么时候就干什么时候该干的事。” 在他眼里，人生应该是完全规划好的，比如23谈恋爱，27结婚，30生孩子，等等等。但我是个随遇而安的人，我讨厌给人生定下框架。如果一切水到渠成，那很好。如果没有发生，那也无所谓。我曾经和我爸爸说过我恐婚恐育的事。他好像很不高兴我不想结婚生子。他总是说: 以后你老了怎么办，谁养活你？我养活我自己。以我爸妈来举例子，如果他们不生我，他们这辈子的财富简直可以给他们比现在好上很多很多的生活。那我何必生孩子呢。他还说: 你现在不想，以后就想了。那就等以后的吧，反正现在不想。他就没有其他的话了，因为他知道我任性又不受控制，还有我骨子里就不是一个随大流的人，从小就不愿意被束缚，非常有自己的想法和主见。所以他知道，他管不了我。至于那些说什么结婚生孩子才是人生真谛，否则活着没有意义的人(狗屎)，我只想说: I’m pretty, I’m happy, and I’m fucking rich. 老娘就算不找对象，也比那些草草结婚，凑合着过日子的人幸福的多。",我不能代表其他人，只能说说我自己。 我不是那么恐婚，可我恐育。 因为婚姻对我来说也不过是一纸白书罢了。如果在未来我有幸遇到一个我很爱也很爱我的人，我愿意赌上一把，试着和他迈进婚姻。前提是我会获得更多的开心幸福，以及更高的生活质量。 但一旦我发现，我的生活质量下降了，或者是他们的家人/他想让我辞去我的大好前程去当一个全职太太，天天伺候他生活起居，完全没有自己生活的话，我就彻底say bye。 我可以大言不惭的…,2020-09-11 16:32:26,2020-09-11 16:32:26,2021-08-22 19:11:24,高艺霖,an-xiao-bei-64-15,设计 心理,854,301,72,148,恐婚恐育,婚育决策,https://www.zhihu.com/question/34531357/answer/1467523678,2026-06-23 16:06:40
1576472496,387324306,真的有很多的00后恐婚，恐孕吗？,是的。先说原因：我觉得一切都能用值不值来衡量，而我想要高质量的生活状态我今年九月刚过完18岁生日。其实关于这个问题我想了很久，我为什么会恐婚恐育？首先，我不排斥恋爱，还很喜欢去认识不同的男生。我的恐婚其实就是———害怕随随便便地结婚。我觉得结婚最大的好处应该是能给我带来一个能同甘共苦的伴侣，一起承受生活。但是随便的婚姻只能给我一个日久生厌的人以及双倍的生活压力，我必须承担两个家庭的责任而没有婚姻的幸福。那我干嘛去犯贱给自己寻不快啊？未婚的自由自在多么可爱至于恐育，对于女性而言，我觉得生育就是拿自己身体健康、生活质量、事业前途的严重减损来换取一个新生命的诞生。而对我来说，这些东西恰恰都位列我的“生活最重要的东西榜单”之中。那么我愿不愿意交换呢？——看情况什么漏尿、腹直肌分离、产后抑郁、身材走形，没有人不怕吧？天天半夜哄睡、照顾小孩精神恍惚心力交瘁很常见吧？休产假带小孩直接与事业严重脱节、因为孩子工资减少，晋升被搁置、甚至直接辞职变全职太太的情况也屡见不鲜小孩长大了，我又要花很多时间去陪伴教育ta，花很多钱送ta去上学、报兴趣班、不委屈ta给ta买各种优质的生活用品。可能以后还要出个国又花好几十几百万。我自己都养不活自己捏，还要对别人负这么大的责任吗？我本身是不喜欢小孩的，长得可爱又乖巧的小孩我更喜欢在网上看看感慨一下，而不用感受带孩子的各种屎尿屁问题。就像撸人家的猫猫狗狗还不用负责喂饭铲屎的那种快乐。所以如果我真的生小孩只可能是因为：我真的爱死我的伴侣，愿意为他放弃掉我生活中大半数珍视的东西。不过可能也会收获很多幸福啦这样的人也太难找了吧哈哈！根本没信心遇到我能愿意为他生孩子的神仙男生～所以又回到第一个问题，恐婚。我绝对不可能随便就结婚。要不遇到一个良配，要不就不结婚呗。孝顺父母方式有很多种，干嘛非要结婚生孩子？话说结婚后领养也很好呀～我最爱的人是自己。生活中已经有很多不幸了，我要给自己带来幸福。,是的。先说原因： 我觉得一切都能用值不值来衡量，而我想要高质量的生活状态我今年九月刚过完18岁生日。 其实关于这个问题我想了很久，我为什么会恐婚恐育？ 首先，我不排斥恋爱，还很喜欢去认识不同的男生。 我的恐婚其实就是———害怕随随便便地结婚。我觉得结婚最大的好处应该是能给我带来一个能同甘共苦的伴侣，一起承受生活。但是随便的婚姻只能给我一个日久生厌的人以及双倍的生活压力，我必须承担两个家庭的责任而没有婚…,2020-11-15 11:13:16,2020-11-15 11:13:16,2020-11-15 14:09:05,林子漙ya,zong-he-80fen,,4,8,0,4,恐婚恐育,婚育决策,https://www.zhihu.com/question/387324306/answer/1576472496,2026-06-23 16:06:42
